vocabulary,key,label,code,object_id,uri,scheme,tier,parent_key,visible_on_dataspace,visible_rule_default,visibility_rule,in_build,is_active,is_open,deprecated,needs_review,review_reason,sources,alt_codes,notes
sector,cdl:child-rights,Child Rights,child-rights,child-rights,https://civicdataspace.in/id/sector/child-rights,cdl,,,yes,yes,cdl-scheme,True,True,,False,False,,cdl,dac_crs=16010|eu_data_theme=SOCI|eu_match_type=broadMatch|sdg=,
sector,cdl:climate-action,Climate Action,climate-action,climate-action,https://civicdataspace.in/id/sector/climate-action,cdl,,,yes,yes,cdl-scheme,True,True,,False,False,,cdl,dac_crs=|eu_data_theme=ENVI|eu_match_type=broadMatch|sdg=13,
sector,cdl:coastal,Coastal,coastal,coastal,https://civicdataspace.in/id/sector/coastal,cdl,,,yes,yes,cdl-scheme,True,True,,False,False,,cdl,dac_crs=|eu_data_theme=ENVI|eu_match_type=broadMatch|sdg=14,
sector,cdl:disaster-risk-reduction,Disaster Risk Reduction,disaster-risk-reduction,disaster-risk-reduction,https://civicdataspace.in/id/sector/disaster-risk-reduction,cdl,,,yes,yes,cdl-scheme,True,True,,False,False,,cdl,dac_crs=74020|eu_data_theme=ENVI|eu_match_type=broadMatch|sdg=,
sector,cdl:gender,Gender,gender,gender,https://civicdataspace.in/id/sector/gender,cdl,,,yes,yes,cdl-scheme,True,True,,False,False,,cdl,dac_crs=15170|eu_data_theme=SOCI|eu_match_type=broadMatch|sdg=5,cross-cutting; may belong as a facet
sector,cdl:law-and-justice,Law and Justice,law-and-justice,law-and-justice,https://civicdataspace.in/id/sector/law-and-justice,cdl,,,yes,yes,cdl-scheme,True,True,,False,False,,cdl,dac_crs=|eu_data_theme=JUST|eu_match_type=closeMatch|sdg=16,
sector,cdl:public-finance,Public Finance,public-finance,public-finance,https://civicdataspace.in/id/sector/public-finance,cdl,,,yes,yes,cdl-scheme,True,True,,False,False,,cdl,dac_crs=|eu_data_theme=GOVE|eu_match_type=closeMatch|sdg=,
sector,cdl:urban-development,Urban Development,urban-development,urban-development,https://civicdataspace.in/id/sector/urban-development,cdl,,,yes,yes,cdl-scheme,True,True,,False,False,,cdl,dac_crs=|eu_data_theme=REGI|eu_match_type=closeMatch|sdg=11,
sector,eu-theme:AGRI,"Agriculture, fisheries, forestry and food",AGRI,,http://publications.europa.eu/resource/authority/data-theme/AGRI,eu-data-theme,,,no,no,default,False,True,,False,False,,eu-data-theme,,
sector,eu-theme:ECON,Economy and finance,ECON,,http://publications.europa.eu/resource/authority/data-theme/ECON,eu-data-theme,,,no,no,default,False,True,,False,False,,eu-data-theme,,
sector,eu-theme:EDUC,"Education, culture and sport",EDUC,,http://publications.europa.eu/resource/authority/data-theme/EDUC,eu-data-theme,,,no,no,default,False,True,,False,False,,eu-data-theme,,
sector,eu-theme:ENER,Energy,ENER,,http://publications.europa.eu/resource/authority/data-theme/ENER,eu-data-theme,,,no,no,default,False,True,,False,False,,eu-data-theme,,
sector,eu-theme:ENVI,Environment,ENVI,,http://publications.europa.eu/resource/authority/data-theme/ENVI,eu-data-theme,,,no,no,default,False,True,,False,False,,eu-data-theme,,
sector,eu-theme:GOVE,Government and public sector,GOVE,,http://publications.europa.eu/resource/authority/data-theme/GOVE,eu-data-theme,,,no,no,default,False,True,,False,False,,eu-data-theme,,
sector,eu-theme:HEAL,Health,HEAL,,http://publications.europa.eu/resource/authority/data-theme/HEAL,eu-data-theme,,,no,no,default,False,True,,False,False,,eu-data-theme,,
sector,eu-theme:INTR,International issues,INTR,,http://publications.europa.eu/resource/authority/data-theme/INTR,eu-data-theme,,,no,no,default,False,True,,False,False,,eu-data-theme,,
sector,eu-theme:JUST,"Justice, legal system and public safety",JUST,,http://publications.europa.eu/resource/authority/data-theme/JUST,eu-data-theme,,,no,no,default,False,True,,False,False,,eu-data-theme,,
sector,eu-theme:SOCI,Population and society,SOCI,,http://publications.europa.eu/resource/authority/data-theme/SOCI,eu-data-theme,,,no,no,default,False,True,,False,False,,eu-data-theme,,
sector,eu-theme:REGI,Regions and cities,REGI,,http://publications.europa.eu/resource/authority/data-theme/REGI,eu-data-theme,,,no,no,default,False,True,,False,False,,eu-data-theme,,
sector,eu-theme:TECH,Science and technology,TECH,,http://publications.europa.eu/resource/authority/data-theme/TECH,eu-data-theme,,,no,no,default,False,True,,False,False,,eu-data-theme,,
sector,eu-theme:TRAN,Transport,TRAN,,http://publications.europa.eu/resource/authority/data-theme/TRAN,eu-data-theme,,,no,no,default,False,True,,False,False,,eu-data-theme,,
