vocabulary,key,label,code,uri,scheme,tier,parent_key,in_build,visible_on_platform,visibility,is_active,is_open,deprecated,needs_review,review_reason,sources,alt_codes,notes
sector,cdl:child-rights,Child Rights,child-rights,https://civicdataspace.in/id/sector/child-rights,cdl,,,True,True,PICKABLE,True,,False,False,,cdl,dac_crs=16010|eu_data_theme=SOCI|eu_match_type=broadMatch|sdg=,visibility rule: cdl-scheme
sector,cdl:climate-action,Climate Action,climate-action,https://civicdataspace.in/id/sector/climate-action,cdl,,,True,True,PICKABLE,True,,False,False,,cdl,dac_crs=|eu_data_theme=ENVI|eu_match_type=broadMatch|sdg=13,visibility rule: cdl-scheme
sector,cdl:coastal,Coastal,coastal,https://civicdataspace.in/id/sector/coastal,cdl,,,True,True,PICKABLE,True,,False,False,,cdl,dac_crs=|eu_data_theme=ENVI|eu_match_type=broadMatch|sdg=14,visibility rule: cdl-scheme
sector,cdl:disaster-risk-reduction,Disaster Risk Reduction,disaster-risk-reduction,https://civicdataspace.in/id/sector/disaster-risk-reduction,cdl,,,True,True,PICKABLE,True,,False,False,,cdl,dac_crs=74020|eu_data_theme=ENVI|eu_match_type=broadMatch|sdg=,visibility rule: cdl-scheme
sector,cdl:gender,Gender,gender,https://civicdataspace.in/id/sector/gender,cdl,,,True,True,PICKABLE,True,,False,False,,cdl,dac_crs=15170|eu_data_theme=SOCI|eu_match_type=broadMatch|sdg=5,cross-cutting; may belong as a facet
sector,cdl:law-and-justice,Law and Justice,law-and-justice,https://civicdataspace.in/id/sector/law-and-justice,cdl,,,True,True,PICKABLE,True,,False,False,,cdl,dac_crs=|eu_data_theme=JUST|eu_match_type=closeMatch|sdg=16,visibility rule: cdl-scheme
sector,cdl:public-finance,Public Finance,public-finance,https://civicdataspace.in/id/sector/public-finance,cdl,,,True,True,PICKABLE,True,,False,False,,cdl,dac_crs=|eu_data_theme=GOVE|eu_match_type=closeMatch|sdg=,visibility rule: cdl-scheme
sector,cdl:urban-development,Urban Development,urban-development,https://civicdataspace.in/id/sector/urban-development,cdl,,,True,True,PICKABLE,True,,False,False,,cdl,dac_crs=|eu_data_theme=REGI|eu_match_type=closeMatch|sdg=11,visibility rule: cdl-scheme
