vocabulary,key,label,code,uri,scheme,tier,parent_key,in_build,visible_on_platform,visibility,is_active,is_open,deprecated,needs_review,review_reason,sources,alt_codes,notes
license,GODL-India,Government Open Data License – India,GODL-India,https://civicdataspace.in/id/licence/godl-india,cdl,,,True,True,PICKABLE,True,True,False,False,,cdl|platform,dataspace_enum=GOVERNMENT_OPEN_DATA_LICENSE,visibility rule: already-in-build
license,CC-BY-4.0,Creative Commons Attribution 4.0,CC-BY-4.0,http://creativecommons.org/licenses/by/4.0/,spdx,,,True,True,PICKABLE,True,True,False,False,,platform|spdx,authority_label=Creative Commons Attribution 4.0 International|dataspace_enum=CC_BY_4_0_ATTRIBUTION|spdx_detail=https://spdx.org/licenses/CC-BY-4.0.json,visibility rule: already-in-build
license,CC-BY-SA-4.0,Creative Commons Attribution-ShareAlike 4.0,CC-BY-SA-4.0,http://creativecommons.org/licenses/by-sa/4.0/,spdx,,,True,True,PICKABLE,True,True,False,False,,platform|spdx,authority_label=Creative Commons Attribution Share Alike 4.0 International|dataspace_enum=CC_BY_SA_4_0_ATTRIBUTION_SHARE_ALIKE|spdx_detail=https://spdx.org/licenses/CC-BY-SA-4.0.json,platform default
license,CC0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,spdx,,,False,True,PICKABLE,True,True,False,False,,spdx,spdx_detail=https://spdx.org/licenses/CC0-1.0.json,visibility rule: curated-open-additions
license,ODC-By-1.0,Open Data Commons Attribution License 1.0,ODC-By-1.0,https://opendatacommons.org/licenses/by/1-0/,spdx,,,True,True,PICKABLE,True,True,False,False,,platform|spdx,authority_label=Open Data Commons Attribution License v1.0|dataspace_enum=OPEN_DATA_COMMONS_BY_ATTRIBUTION|spdx_detail=https://spdx.org/licenses/ODC-By-1.0.json,visibility rule: already-in-build
license,PDDL-1.0,Open Data Commons Public Domain Dedication & License 1.0,PDDL-1.0,https://opendatacommons.org/licenses/pddl/1-0/,spdx,,,False,True,PICKABLE,True,True,False,False,,spdx,spdx_detail=https://spdx.org/licenses/PDDL-1.0.json,visibility rule: curated-open-additions
license,ODbL-1.0,Open Database License 1.0,ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,spdx,,,True,True,PICKABLE,True,True,False,False,,platform|spdx,authority_label=Open Data Commons Open Database License v1.0|dataspace_enum=OPEN_DATABASE_LICENSE|spdx_detail=https://spdx.org/licenses/ODbL-1.0.json,visibility rule: already-in-build
