vocabulary,key,label,code,object_id,uri,scheme,tier,parent_key,visible_on_dataspace,visible_rule_default,visibility_rule,in_build,is_active,is_open,deprecated,needs_review,review_reason,sources,alt_codes,notes
geography,region:north-east-india,North East India,north-east-india,north-east-india,https://civicdataspace.in/id/geography/region/north-east-india,cdl,REGION,,yes,yes,country-and-above,False,True,,False,False,,cdl,un_m49=,no external authority covers this grouping
geography,region:southern-asia,Southern Asia,southern-asia,southern-asia,https://civicdataspace.in/id/geography/region/southern-asia,cdl,REGION,,yes,yes,country-and-above,False,True,,False,False,,cdl,un_m49=034,UN M49 region
geography,country:IN,India,IN,IN,https://www.wikidata.org/entity/Q668,iso3166-1,COUNTRY,,yes,yes,country-and-above,False,True,,False,False,,iso3166,,
geography,state:1,Jammu and Kashmir,1,1,http://www.wikidata.org/entity/Q66278313,lgd,UT,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-JK,
geography,state:10,Bihar,10,10,http://www.wikidata.org/entity/Q1165,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-BR,
geography,state:11,Sikkim,11,11,http://www.wikidata.org/entity/Q1505,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-SK,
geography,state:12,Arunachal Pradesh,12,12,http://www.wikidata.org/entity/Q1162,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-AR,
geography,state:13,Nagaland,13,13,http://www.wikidata.org/entity/Q1599,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-NL,
geography,state:14,Manipur,14,14,http://www.wikidata.org/entity/Q1193,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-MN,
geography,state:15,Mizoram,15,15,http://www.wikidata.org/entity/Q1502,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-MZ,
geography,state:16,Tripura,16,16,http://www.wikidata.org/entity/Q1363,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-TR,
geography,state:17,Meghalaya,17,17,http://www.wikidata.org/entity/Q1195,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-ML,
geography,state:18,Assam,18,18,http://www.wikidata.org/entity/Q1164,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-AS,
geography,state:19,West Bengal,19,19,http://www.wikidata.org/entity/Q1356,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-WB,
geography,state:2,Himachal Pradesh,2,2,http://www.wikidata.org/entity/Q1177,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-HP,
geography,state:20,Jharkhand,20,20,http://www.wikidata.org/entity/Q1184,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-JH,
geography,state:21,Odisha,21,21,http://www.wikidata.org/entity/Q22048,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-OD,
geography,state:22,Chhattisgarh,22,22,http://www.wikidata.org/entity/Q1168,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-CG,
geography,state:23,Madhya Pradesh,23,23,http://www.wikidata.org/entity/Q1188,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-MP,
geography,state:24,Gujarat,24,24,http://www.wikidata.org/entity/Q1061,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-GJ,
geography,state:27,Maharashtra,27,27,http://www.wikidata.org/entity/Q1191,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-MH,
geography,state:28,Andhra Pradesh,28,28,http://www.wikidata.org/entity/Q1159,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-AP,
geography,state:29,Karnataka,29,29,http://www.wikidata.org/entity/Q1185,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-KA,
geography,state:3,Punjab,3,3,http://www.wikidata.org/entity/Q22424,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-PB,
geography,state:30,Goa,30,30,http://www.wikidata.org/entity/Q1171,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-GA,
geography,state:31,Lakshadweep,31,31,http://www.wikidata.org/entity/Q26927,lgd,UT,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-LD,
geography,state:32,Kerala,32,32,http://www.wikidata.org/entity/Q1186,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-KL,
geography,state:33,Tamil Nadu,33,33,http://www.wikidata.org/entity/Q1445,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-TN,
geography,state:34,Puducherry,34,34,http://www.wikidata.org/entity/Q66743,lgd,UT,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-PY,
geography,state:35,Andaman and Nicobar Islands,35,35,http://www.wikidata.org/entity/Q40888,lgd,UT,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-AN,
geography,state:36,Telangana,36,36,http://www.wikidata.org/entity/Q677037,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-TS,
geography,state:37,Ladakh,37,37,http://www.wikidata.org/entity/Q200667,lgd,UT,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-LA,
geography,state:38,Dadra and Nagar Haveli and Daman and Diu,38,38,http://www.wikidata.org/entity/Q77997266,lgd,UT,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-DH,
geography,state:4,Chandigarh,4,4,http://www.wikidata.org/entity/Q120971341,lgd,UT,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-CH,
geography,state:5,Uttarakhand,5,5,http://www.wikidata.org/entity/Q1499,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-UK,
geography,state:6,Haryana,6,6,http://www.wikidata.org/entity/Q1174,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-HR,
geography,state:7,National Capital Territory of Delhi,7,7,http://www.wikidata.org/entity/Q9357528,lgd,UT,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-DL,
geography,state:8,Rajasthan,8,8,http://www.wikidata.org/entity/Q1437,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-RJ,
geography,state:9,Uttar Pradesh,9,9,http://www.wikidata.org/entity/Q1498,lgd,STATE,country:IN,yes,yes,state-and-ut,False,True,,False,False,,lgd,census_2011=|iso3166_2=IN-UP,
geography,district:1,Anantnag,1,1-1,http://www.wikidata.org/entity/Q2982349,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:10,Poonch,10,1-10,http://www.wikidata.org/entity/Q2983134,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:11,Pulwama,11,1-11,http://www.wikidata.org/entity/Q2085364,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:12,Rajouri,12,1-12,http://www.wikidata.org/entity/Q544279,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:13,Srinagar,13,1-13,http://www.wikidata.org/entity/Q1506029,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:14,Udhampur,14,1-14,http://www.wikidata.org/entity/Q1947311,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:2,Budgam,2,1-2,http://www.wikidata.org/entity/Q2594218,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:3,Baramulla,3,1-3,http://www.wikidata.org/entity/Q1912057,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:4,Doda,4,1-4,http://www.wikidata.org/entity/Q2298979,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:5,Jammu,5,1-5,http://www.wikidata.org/entity/Q1947371,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:620,Kishtwar,620,1-620,http://www.wikidata.org/entity/Q2321899,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:621,Ramban,621,1-621,http://www.wikidata.org/entity/Q2321939,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:622,Kulgam,622,1-622,http://www.wikidata.org/entity/Q2321867,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:623,Bandipore,623,1-623,http://www.wikidata.org/entity/Q2983553,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:624,Samba,624,1-624,http://www.wikidata.org/entity/Q1117086,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:625,Shopian,625,1-625,http://www.wikidata.org/entity/Q2073646,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:626,Ganderbal,626,1-626,http://www.wikidata.org/entity/Q2556028,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:627,Reasi,627,1-627,http://www.wikidata.org/entity/Q2321956,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:7,Kathua,7,1-7,http://www.wikidata.org/entity/Q2375700,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:8,Kupwara,8,1-8,http://www.wikidata.org/entity/Q2297306,lgd,DISTRICT,state:1,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:188,Araria,188,10-188,http://www.wikidata.org/entity/Q42901,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:189,Aurangabad,189,10-189,http://www.wikidata.org/entity/Q43086,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:190,Banka,190,10-190,http://www.wikidata.org/entity/Q43097,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:191,Begusarai,191,10-191,http://www.wikidata.org/entity/Q49157,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:192,Bhagalpur,192,10-192,http://www.wikidata.org/entity/Q49155,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:193,Bhojpur,193,10-193,http://www.wikidata.org/entity/Q49153,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:194,Buxar,194,10-194,http://www.wikidata.org/entity/Q49161,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:195,Darbhanga,195,10-195,http://www.wikidata.org/entity/Q49160,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:196,Gaya,196,10-196,http://www.wikidata.org/entity/Q49173,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:197,Gopalganj,197,10-197,http://www.wikidata.org/entity/Q49171,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:198,Jamui,198,10-198,http://www.wikidata.org/entity/Q49168,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:199,Jehanabad,199,10-199,http://www.wikidata.org/entity/Q49176,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:200,Kaimur,200,10-200,http://www.wikidata.org/entity/Q77367,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:201,Katihar,201,10-201,http://www.wikidata.org/entity/Q77568,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:202,Khagaria,202,10-202,http://www.wikidata.org/entity/Q49175,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:203,Kishanganj,203,10-203,http://www.wikidata.org/entity/Q77375,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:204,Lakhisarai,204,10-204,http://www.wikidata.org/entity/Q77505,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:205,Madhepura,205,10-205,http://www.wikidata.org/entity/Q77746,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:206,Madhubani,206,10-206,http://www.wikidata.org/entity/Q77474,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:207,Munger,207,10-207,http://www.wikidata.org/entity/Q77452,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:208,Muzaffarpur,208,10-208,http://www.wikidata.org/entity/Q77731,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:209,Nalanda,209,10-209,http://www.wikidata.org/entity/Q77633,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:210,Nawada,210,10-210,http://www.wikidata.org/entity/Q100067,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:211,West Champaran,211,10-211,http://www.wikidata.org/entity/Q100124,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:212,Patna,212,10-212,http://www.wikidata.org/entity/Q100077,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:213,East Champaran,213,10-213,http://www.wikidata.org/entity/Q49159,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:214,Purnia,214,10-214,http://www.wikidata.org/entity/Q100082,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:215,Rohtas,215,10-215,http://www.wikidata.org/entity/Q100085,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:216,Saharsa,216,10-216,http://www.wikidata.org/entity/Q100120,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:217,Samastipur,217,10-217,http://www.wikidata.org/entity/Q100117,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:218,Saran,218,10-218,http://www.wikidata.org/entity/Q100146,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:219,Sheikhpura,219,10-219,http://www.wikidata.org/entity/Q100093,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:220,Sheohar,220,10-220,http://www.wikidata.org/entity/Q100095,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:221,Sitamarhi,221,10-221,http://www.wikidata.org/entity/Q100144,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:222,Siwan,222,10-222,http://www.wikidata.org/entity/Q100131,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:223,Supaul,223,10-223,http://www.wikidata.org/entity/Q100139,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:224,Vaishali,224,10-224,http://www.wikidata.org/entity/Q100130,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:611,Arwal,611,10-611,http://www.wikidata.org/entity/Q42917,lgd,DISTRICT,state:10,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:225,Gangtok,225,11-225,http://www.wikidata.org/entity/Q113956160,lgd,DISTRICT,state:11,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:226,Mangan,226,11-226,http://www.wikidata.org/entity/Q1784149,lgd,DISTRICT,state:11,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:227,Namchi,227,11-227,http://www.wikidata.org/entity/Q1805051,lgd,DISTRICT,state:11,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:228,Gyalshing,228,11-228,http://www.wikidata.org/entity/Q611357,lgd,DISTRICT,state:11,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:741,Pakyong,741,11-741,http://www.wikidata.org/entity/Q108803704,lgd,DISTRICT,state:11,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:742,Soreng,742,11-742,http://www.wikidata.org/entity/Q112939132,lgd,DISTRICT,state:11,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:229,Changlang,229,12-229,http://www.wikidata.org/entity/Q15427,lgd,DISTRICT,state:12,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:230,Dibang Valley,230,12-230,http://www.wikidata.org/entity/Q15446,lgd,DISTRICT,state:12,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:231,East Kameng,231,12-231,http://www.wikidata.org/entity/Q15424,lgd,DISTRICT,state:12,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
geography,district:232,East Siang,232,12-232,http://www.wikidata.org/entity/Q15419,lgd,DISTRICT,state:12,no,no,district,False,True,,False,False,,lgd,census_2011=|valid_from=|valid_to=,
