vocabulary,key,label,code,object_id,uri,scheme,tier,parent_key,visible_on_dataspace,visible_rule_default,visibility_rule,in_build,is_active,is_open,deprecated,needs_review,review_reason,sources,alt_codes,notes
license,GODL-India,Government Open Data License – India,GODL-India,,https://civicdataspace.in/id/licence/godl-india,cdl,,,yes,yes,already-in-build,True,True,True,False,False,,cdl|platform,dataspace_enum=GOVERNMENT_OPEN_DATA_LICENSE,
license,CC-PDM-1.0,Creative    Commons Public Domain Mark 1.0 Universal,CC-PDM-1.0,,https://spdx.org/licenses/CC-PDM-1.0,spdx,,,no,no,not-open,False,True,False,False,False,,spdx,spdx_detail=https://spdx.org/licenses/CC-PDM-1.0.json,
license,CC-BY-1.0,Creative Commons Attribution 1.0 Generic,CC-BY-1.0,,https://spdx.org/licenses/CC-BY-1.0,spdx,,,no,no,not-open,False,True,False,False,False,,spdx,spdx_detail=https://spdx.org/licenses/CC-BY-1.0.json,
license,CC-BY-2.0,Creative Commons Attribution 2.0 Generic,CC-BY-2.0,,https://spdx.org/licenses/CC-BY-2.0,spdx,,,no,no,not-open,False,True,False,False,False,,spdx,spdx_detail=https://spdx.org/licenses/CC-BY-2.0.json,
license,CC-BY-2.5-AU,Creative Commons Attribution 2.5 Australia,CC-BY-2.5-AU,,https://spdx.org/licenses/CC-BY-2.5-AU,spdx,,,no,no,not-open,False,True,False,False,False,,spdx,spdx_detail=https://spdx.org/licenses/CC-BY-2.5-AU.json,
license,CC-BY-2.5,Creative Commons Attribution 2.5 Generic,CC-BY-2.5,,https://spdx.org/licenses/CC-BY-2.5,spdx,,,no,no,not-open,False,True,False,False,False,,spdx,spdx_detail=https://spdx.org/licenses/CC-BY-2.5.json,
license,CC-BY-3.0-AU,Creative Commons Attribution 3.0 Australia,CC-BY-3.0-AU,,https://spdx.org/licenses/CC-BY-3.0-AU,spdx,,,no,no,not-open,False,True,False,False,False,,spdx,spdx_detail=https://spdx.org/licenses/CC-BY-3.0-AU.json,
license,CC-BY-3.0-AT,Creative Commons Attribution 3.0 Austria,CC-BY-3.0-AT,,https://spdx.org/licenses/CC-BY-3.0-AT,spdx,,,no,no,not-open,False,True,False,False,False,,spdx,spdx_detail=https://spdx.org/licenses/CC-BY-3.0-AT.json,
license,CC-BY-3.0-DE,Creative Commons Attribution 3.0 Germany,CC-BY-3.0-DE,,https://spdx.org/licenses/CC-BY-3.0-DE,spdx,,,no,no,not-open,False,True,False,False,False,,spdx,spdx_detail=https://spdx.org/licenses/CC-BY-3.0-DE.json,
license,CC-BY-3.0-IGO,Creative Commons Attribution 3.0 IGO,CC-BY-3.0-IGO,,https://spdx.org/licenses/CC-BY-3.0-IGO,spdx,,,no,no,not-open,False,True,False,False,False,,spdx,spdx_detail=https://spdx.org/licenses/CC-BY-3.0-IGO.json,
