lgd_district_code,district_name,lgd_state_code,object_id,census_2011_code,wikidata_uri,valid_from,valid_to,notes
1,Anantnag,1,1-1,,http://www.wikidata.org/entity/Q2982349,,,
2,Budgam,1,1-2,,http://www.wikidata.org/entity/Q2594218,,,
3,Baramulla,1,1-3,,http://www.wikidata.org/entity/Q1912057,,,
4,Doda,1,1-4,,http://www.wikidata.org/entity/Q2298979,,,
5,Jammu,1,1-5,,http://www.wikidata.org/entity/Q1947371,,,
7,Kathua,1,1-7,,http://www.wikidata.org/entity/Q2375700,,,
8,Kupwara,1,1-8,,http://www.wikidata.org/entity/Q2297306,,,
10,Poonch,1,1-10,,http://www.wikidata.org/entity/Q2983134,,,
11,Pulwama,1,1-11,,http://www.wikidata.org/entity/Q2085364,,,
12,Rajouri,1,1-12,,http://www.wikidata.org/entity/Q544279,,,
13,Srinagar,1,1-13,,http://www.wikidata.org/entity/Q1506029,,,
14,Udhampur,1,1-14,,http://www.wikidata.org/entity/Q1947311,,,
620,Kishtwar,1,1-620,,http://www.wikidata.org/entity/Q2321899,,,
621,Ramban,1,1-621,,http://www.wikidata.org/entity/Q2321939,,,
622,Kulgam,1,1-622,,http://www.wikidata.org/entity/Q2321867,,,
623,Bandipore,1,1-623,,http://www.wikidata.org/entity/Q2983553,,,
624,Samba,1,1-624,,http://www.wikidata.org/entity/Q1117086,,,
625,Shopian,1,1-625,,http://www.wikidata.org/entity/Q2073646,,,
626,Ganderbal,1,1-626,,http://www.wikidata.org/entity/Q2556028,,,
627,Reasi,1,1-627,,http://www.wikidata.org/entity/Q2321956,,,
188,Araria,10,10-188,,http://www.wikidata.org/entity/Q42901,,,
189,Aurangabad,10,10-189,,http://www.wikidata.org/entity/Q43086,,,
190,Banka,10,10-190,,http://www.wikidata.org/entity/Q43097,,,
191,Begusarai,10,10-191,,http://www.wikidata.org/entity/Q49157,,,
192,Bhagalpur,10,10-192,,http://www.wikidata.org/entity/Q49155,,,
193,Bhojpur,10,10-193,,http://www.wikidata.org/entity/Q49153,,,
194,Buxar,10,10-194,,http://www.wikidata.org/entity/Q49161,,,
195,Darbhanga,10,10-195,,http://www.wikidata.org/entity/Q49160,,,
196,Gaya,10,10-196,,http://www.wikidata.org/entity/Q49173,,,
197,Gopalganj,10,10-197,,http://www.wikidata.org/entity/Q49171,,,
198,Jamui,10,10-198,,http://www.wikidata.org/entity/Q49168,,,
199,Jehanabad,10,10-199,,http://www.wikidata.org/entity/Q49176,,,
200,Kaimur,10,10-200,,http://www.wikidata.org/entity/Q77367,,,
201,Katihar,10,10-201,,http://www.wikidata.org/entity/Q77568,,,
202,Khagaria,10,10-202,,http://www.wikidata.org/entity/Q49175,,,
203,Kishanganj,10,10-203,,http://www.wikidata.org/entity/Q77375,,,
204,Lakhisarai,10,10-204,,http://www.wikidata.org/entity/Q77505,,,
205,Madhepura,10,10-205,,http://www.wikidata.org/entity/Q77746,,,
206,Madhubani,10,10-206,,http://www.wikidata.org/entity/Q77474,,,
207,Munger,10,10-207,,http://www.wikidata.org/entity/Q77452,,,
208,Muzaffarpur,10,10-208,,http://www.wikidata.org/entity/Q77731,,,
209,Nalanda,10,10-209,,http://www.wikidata.org/entity/Q77633,,,
210,Nawada,10,10-210,,http://www.wikidata.org/entity/Q100067,,,
211,West Champaran,10,10-211,,http://www.wikidata.org/entity/Q100124,,,
212,Patna,10,10-212,,http://www.wikidata.org/entity/Q100077,,,
213,East Champaran,10,10-213,,http://www.wikidata.org/entity/Q49159,,,
214,Purnia,10,10-214,,http://www.wikidata.org/entity/Q100082,,,
215,Rohtas,10,10-215,,http://www.wikidata.org/entity/Q100085,,,
216,Saharsa,10,10-216,,http://www.wikidata.org/entity/Q100120,,,
217,Samastipur,10,10-217,,http://www.wikidata.org/entity/Q100117,,,
218,Saran,10,10-218,,http://www.wikidata.org/entity/Q100146,,,
219,Sheikhpura,10,10-219,,http://www.wikidata.org/entity/Q100093,,,
220,Sheohar,10,10-220,,http://www.wikidata.org/entity/Q100095,,,
221,Sitamarhi,10,10-221,,http://www.wikidata.org/entity/Q100144,,,
