lgd_subdistrict_code,subdistrict_name,lgd_district_code,lgd_state_code,object_id,census_2011_code,wikidata_uri,valid_from,valid_to,notes
53,Pahalgam,1,1,1-1-53,,http://www.wikidata.org/entity/Q123256323,,,
54,Bijbehara,1,1,1-1-54,,http://www.wikidata.org/entity/Q123256506,,,
55,Anantnag,1,1,1-1-55,,http://www.wikidata.org/entity/Q123256475,,,
56,Shangus,1,1,1-1-56,,http://www.wikidata.org/entity/Q123256300,,,
57,Kokernag,1,1,1-1-57,,http://www.wikidata.org/entity/Q123256453,,,
58,Dooru,1,1,1-1-58,,http://www.wikidata.org/entity/Q123256505,,,
6816,Shahbad Bala,1,1,1-1-6816,,http://www.wikidata.org/entity/Q123256326,,,
6817,Qazigund,1,1,1-1-6817,,http://www.wikidata.org/entity/Q123256393,,,
6818,Sallar,1,1,1-1-6818,,http://www.wikidata.org/entity/Q123256327,,,
6819,Srigufwara,1,1,1-1-6819,,http://www.wikidata.org/entity/Q123256408,,,
6820,Larnoo,1,1,1-1-6820,,http://www.wikidata.org/entity/Q123256400,,,
6822,Anantnag East,1,1,1-1-6822,,http://www.wikidata.org/entity/Q123256421,,,
16,Haveli,10,1,1-10-16,,http://www.wikidata.org/entity/Q123256464,,,
17,Mandi,10,1,1-10-17,,http://www.wikidata.org/entity/Q123256290,,,
18,Mendhar,10,1,1-10-18,,http://www.wikidata.org/entity/Q16740089,,,
19,Surankote,10,1,1-10-19,,http://www.wikidata.org/entity/Q123256351,,,
6778,Balakote,10,1,1-10-6778,,http://www.wikidata.org/entity/Q123256416,,,
6779,Mankote,10,1,1-10-6779,,http://www.wikidata.org/entity/Q123256436,,,
48,Pampore,11,1,1-11-48,,http://www.wikidata.org/entity/Q123256483,,,
49,Awantipora,11,1,1-11-49,,http://www.wikidata.org/entity/Q123256307,,,
50,Tral,11,1,1-11-50,,http://www.wikidata.org/entity/Q123256412,,,
51,Pulwama,11,1,1-11-51,,http://www.wikidata.org/entity/Q123256442,,,
6793,Kakapora,11,1,1-11-6793,,http://www.wikidata.org/entity/Q123256402,,,
6794,Shahoora,11,1,1-11-6794,,http://www.wikidata.org/entity/Q123256404,,,
6795,Aripal,11,1,1-11-6795,,http://www.wikidata.org/entity/Q123256320,,,
6796,Rajpora,11,1,1-11-6796,,http://www.wikidata.org/entity/Q123256424,,,
