lgd_state_code,state_name,object_id,is_union_territory,iso_3166_2,census_2011_code,wikidata_uri,deprecated,notes
1,Jammu and Kashmir,1,true,IN-JK,,http://www.wikidata.org/entity/Q66278313,false,
2,Himachal Pradesh,2,false,IN-HP,,http://www.wikidata.org/entity/Q1177,false,
3,Punjab,3,false,IN-PB,,http://www.wikidata.org/entity/Q22424,false,
4,Chandigarh,4,true,IN-CH,,http://www.wikidata.org/entity/Q120971341,false,
5,Uttarakhand,5,false,IN-UK,,http://www.wikidata.org/entity/Q1499,false,
6,Haryana,6,false,IN-HR,,http://www.wikidata.org/entity/Q1174,false,
7,National Capital Territory of Delhi,7,true,IN-DL,,http://www.wikidata.org/entity/Q9357528,false,
8,Rajasthan,8,false,IN-RJ,,http://www.wikidata.org/entity/Q1437,false,
9,Uttar Pradesh,9,false,IN-UP,,http://www.wikidata.org/entity/Q1498,false,
10,Bihar,10,false,IN-BR,,http://www.wikidata.org/entity/Q1165,false,
11,Sikkim,11,false,IN-SK,,http://www.wikidata.org/entity/Q1505,false,
12,Arunachal Pradesh,12,false,IN-AR,,http://www.wikidata.org/entity/Q1162,false,
13,Nagaland,13,false,IN-NL,,http://www.wikidata.org/entity/Q1599,false,
14,Manipur,14,false,IN-MN,,http://www.wikidata.org/entity/Q1193,false,
15,Mizoram,15,false,IN-MZ,,http://www.wikidata.org/entity/Q1502,false,
16,Tripura,16,false,IN-TR,,http://www.wikidata.org/entity/Q1363,false,
17,Meghalaya,17,false,IN-ML,,http://www.wikidata.org/entity/Q1195,false,
18,Assam,18,false,IN-AS,,http://www.wikidata.org/entity/Q1164,false,
19,West Bengal,19,false,IN-WB,,http://www.wikidata.org/entity/Q1356,false,
20,Jharkhand,20,false,IN-JH,,http://www.wikidata.org/entity/Q1184,false,
21,Odisha,21,false,IN-OD,,http://www.wikidata.org/entity/Q22048,false,
22,Chhattisgarh,22,false,IN-CG,,http://www.wikidata.org/entity/Q1168,false,
23,Madhya Pradesh,23,false,IN-MP,,http://www.wikidata.org/entity/Q1188,false,
24,Gujarat,24,false,IN-GJ,,http://www.wikidata.org/entity/Q1061,false,
27,Maharashtra,27,false,IN-MH,,http://www.wikidata.org/entity/Q1191,false,
28,Andhra Pradesh,28,false,IN-AP,,http://www.wikidata.org/entity/Q1159,false,
29,Karnataka,29,false,IN-KA,,http://www.wikidata.org/entity/Q1185,false,
30,Goa,30,false,IN-GA,,http://www.wikidata.org/entity/Q1171,false,
31,Lakshadweep,31,true,IN-LD,,http://www.wikidata.org/entity/Q26927,false,
32,Kerala,32,false,IN-KL,,http://www.wikidata.org/entity/Q1186,false,
33,Tamil Nadu,33,false,IN-TN,,http://www.wikidata.org/entity/Q1445,false,
34,Puducherry,34,true,IN-PY,,http://www.wikidata.org/entity/Q66743,false,
35,Andaman and Nicobar Islands,35,true,IN-AN,,http://www.wikidata.org/entity/Q40888,false,
36,Telangana,36,false,IN-TS,,http://www.wikidata.org/entity/Q677037,false,
37,Ladakh,37,true,IN-LA,,http://www.wikidata.org/entity/Q200667,false,
38,Dadra and Nagar Haveli and Daman and Diu,38,true,IN-DH,,http://www.wikidata.org/entity/Q77997266,false,
