dataset_id,title,url,publisher,score,grade,metadata_score,data_score,1.1_title_score,1.2_description_score,1.3_publisher_score,1.5_tags_score,1.6_sectors_score,1.7_geography_score,1.8_date_of_creation_score,1.9_license_score,1.10_source_website_score,2.1_file_format_score,2.2_encoding_score,2.3_column_naming_score,2.4_data_types_score,2.5_units_score,2.6_missing_values_score,2.7_data_quality_score,2.8_file_naming_score,top_fixes
c8eb58b8-0c4f-4cf1-bde7-b9702fc4e4d2,DOST Helpdesk,https://civicdataspace.in/datasets/c8eb58b8-0c4f-4cf1-bde7-b9702fc4e4d2,CivicDataLab,44.4,Poor,49.0,21.7,55,25,100,100,100,0,0,100,0,20,,,,,,,25,[1.2] State the years the data covers in the description. | [1.7] Set the geography (country / state / district) in metadata. | [2.1] Publish the underlying data as CSV/JSON (keep the PDF only as supporting documentation). | [1.10] Add the official page of the organisation that publishes the source data. | [1.8] Add the source's official creation date in YYYY-MM-DD format.
6f37bc88-2d03-4e2a-8b0f-2f56200744ba,Types of Language Dataset Guide,https://civicdataspace.in/datasets/6f37bc88-2d03-4e2a-8b0f-2f56200744ba,CivicDataLab,46.7,Poor,51.7,21.7,75,25,100,100,100,0,0,100,0,20,,,,,,,25,[1.2] State the years the data covers in the description. | [1.7] Set the geography (country / state / district) in metadata. | [2.1] Publish the underlying data as CSV/JSON (keep the PDF only as supporting documentation). | [1.10] Add the official page of the organisation that publishes the source data. | [1.8] Add the source's official creation date in YYYY-MM-DD format.
8e8dbbbb-25de-4247-8dd9-f7d702bb73c0,Dataset Preparation Guidelines,https://civicdataspace.in/datasets/8e8dbbbb-25de-4247-8dd9-f7d702bb73c0,CivicDataLab,46.7,Poor,51.7,21.7,75,25,100,100,100,0,0,100,0,20,,,,,,,25,[1.2] State the years the data covers in the description. | [1.7] Set the geography (country / state / district) in metadata. | [2.1] Publish the underlying data as CSV/JSON (keep the PDF only as supporting documentation). | [1.10] Add the official page of the organisation that publishes the source data. | [1.8] Add the source's official creation date in YYYY-MM-DD format.
bb4a8324-a4e6-440a-94ec-6216477abc56,Dataset Onboarding Toolkit,https://civicdataspace.in/datasets/bb4a8324-a4e6-440a-94ec-6216477abc56,CivicDataLab,48.3,Poor,53.7,21.7,75,35,100,100,100,0,0,100,0,20,,,,,,,25,[1.2] State the years the data covers in the description. | [1.7] Set the geography (country / state / district) in metadata. | [2.1] Publish the underlying data as CSV/JSON (keep the PDF only as supporting documentation). | [1.10] Add the official page of the organisation that publishes the source data. | [1.8] Add the source's official creation date in YYYY-MM-DD format.
0bdfe6b8-a4d3-4ef3-ad3a-3f8858efdce6,Identifying Language Dataset Guide,https://civicdataspace.in/datasets/0bdfe6b8-a4d3-4ef3-ad3a-3f8858efdce6,CivicDataLab,48.3,Poor,53.7,21.7,75,35,100,100,100,0,0,100,0,20,,,,,,,25,[1.2] State the years the data covers in the description. | [1.7] Set the geography (country / state / district) in metadata. | [2.1] Publish the underlying data as CSV/JSON (keep the PDF only as supporting documentation). | [1.10] Add the official page of the organisation that publishes the source data. | [1.8] Add the source's official creation date in YYYY-MM-DD format.
3e8186ae-b8a6-4579-be92-36a548520dac,Spatiotemporal Modeling of Aedes aegypti Risk: Enhancing Dengue Virus Control through Meteorological and Remote Sensing Data in French Guiana,https://civicdataspace.in/datasets/3e8186ae-b8a6-4579-be92-36a548520dac,Pasteur Network,50.8,Needs improvement,56.7,21.7,50,25,100,100,100,0,100,100,0,20,,,,,,,25,[1.2] State the years the data covers in the description. | [1.7] Set the geography (country / state / district) in metadata. | [2.1] Publish the underlying data as CSV/JSON (keep the PDF only as supporting documentation). | [1.10] Add the official page of the organisation that publishes the source data. | [1.1] Shorten the title to 60 characters or fewer.
ab1a2463-380e-4150-aed9-e938000e65a7,Mental Health Prompts (Hindi),https://civicdataspace.in/datasets/ab1a2463-380e-4150-aed9-e938000e65a7,CivicDataLab,52.9,Needs improvement,57.0,40.0,75,10,100,100,100,0,100,100,0,30,,60,,,,,25,"[1.2] Expand the description to 2–5 sentences. | [1.7] Set the geography (country / state / district) in metadata. | [1.10] Add the official page of the organisation that publishes the source data. | [2.1] Add a CSV version alongside every Excel file. | [2.8] Rename files as {theme}_{region}_{time_period}_v{version}.{format}, e.g. climate_bihar_precipitation_2000_2020_v1.0.csv."
984f16c9-9959-4a07-9b04-9a951ee7cd03,Prompt_test_cases_Agriculture_Assamese,https://civicdataspace.in/datasets/984f16c9-9959-4a07-9b04-9a951ee7cd03,CivicDataLab,53.4,Needs improvement,57.7,40.0,55,10,100,100,100,100,0,100,0,30,,60,,,,,25,[1.2] Expand the description to 2–5 sentences. | [1.10] Add the official page of the organisation that publishes the source data. | [2.1] Add a CSV version alongside every Excel file. | [1.8] Add the source's official creation date in YYYY-MM-DD format. | [1.1] Remove special characters from the title (write 'and' instead of '&').
279f0a4d-0ccf-47e0-a7cc-e6f293a58b6e,Himachal Pradesh Tenders,https://civicdataspace.in/datasets/279f0a4d-0ccf-47e0-a7cc-e6f293a58b6e,Himachal Pradesh Tenders,55.1,Needs improvement,56.8,50.4,75,30,100,100,100,0,0,50,100,100,,26,,20,,,25,"[1.2] Expand the description to 2–5 sentences. | [1.7] Set the geography (country / state / district) in metadata. | [2.3] Rename columns to snake_case (lowercase, words joined with underscores). | [1.8] Add the source's official creation date in YYYY-MM-DD format. | [1.9] Set the license to Government Open Data License (GODL) for data sourced from government platforms."
7e876e22-af77-40e1-aa97-f47eee3ee56f,District-wise Damage to Public utilities in Punjab from 1968 to 2022 (April to March),https://civicdataspace.in/datasets/7e876e22-af77-40e1-aa97-f47eee3ee56f,Prashasti Yadav,55.1,Needs improvement,61.2,39.1,75,10,60,100,100,100,0,50,100,100,,0,,0,,,25,"[1.2] Expand the description to 2–5 sentences. | [2.3] Rename columns to snake_case (lowercase, words joined with underscores). | [1.8] Add the source's official creation date in YYYY-MM-DD format. | [2.5] Document the unit of every measurement column (name suffix like _mm / _inr_crore, or column description). | [1.9] Set the license to Government Open Data License (GODL) for data sourced from government platforms."
